galaxy_id,sample_branch,control_tier,n_realizations,n_valid_realizations,observed_statistic,control_median,control_mean,control_std,control_p05,control_p16,control_p84,control_p95,empirical_percentile_observed,empirical_p_two_sided,finite_status,notes
G0010,partial_rank_134,shuffle_surrogate_partial_rank,1000,1000,-0.38516986191914848,-0.00071296503299598396,0.0026980948236862618,0.2525914798780905,-0.41715915476992155,-0.25223194460842707,0.26177631236538068,0.43704267371276112,0.066000000000000003,0.14185814185814186,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0010,partial_rank_134,shuffle_surrogate_partial_rank_absolute,1000,1000,0.38516986191914848,0.1780908269278611,0.20475070307471355,0.14794216779908242,0.016464478824284604,0.049968771037240144,0.3677766977765603,0.49114300212620782,0.85899999999999999,0.14185814185814186,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0010,spectral_control_76,random_phase_surrogate_radial_template,1000,1000,0.86948064721657725,0.86948064721657725,0.86948064721657703,2.2386897816540458e-16,0.86948064721657725,0.86948064721657725,0.86948064721657725,0.86948064721657725,0.5,1,DEGENERATE_PHASE_BLIND_STATISTIC,Per-galaxy summary; not a pooled p-value
G0010,spectral_control_76,random_phase_surrogate_residual,1000,1000,0.5144846614721672,0.51448466147216732,0.5144846614721672,8.5854056882356055e-17,0.5144846614721672,0.5144846614721672,0.51448466147216732,0.51448466147216732,0.5,1,DEGENERATE_PHASE_BLIND_STATISTIC,Per-galaxy summary; not a pooled p-value
G0010,spectral_control_76,smooth_profile_exponential_reference,1,1,,0.54841116895906106,0.54841116895906106,0,0.54841116895906106,0.54841116895906106,0.54841116895906106,0.54841116895906106,,,FIXED_REFERENCE_NOT_NULL,Fixed reference: percentile and p-value empty
G0010,spectral_control_76,smooth_profile_linear_reference,1,1,,0.55293651198333094,0.55293651198333094,0,0.55293651198333094,0.55293651198333094,0.55293651198333094,0.55293651198333094,,,FIXED_REFERENCE_NOT_NULL,Fixed reference: percentile and p-value empty
G0010,spectral_control_76,smooth_profile_quadratic_reference,1,1,,0.57036991400033354,0.57036991400033354,0,0.57036991400033354,0.57036991400033354,0.57036991400033354,0.57036991400033354,,,FIXED_REFERENCE_NOT_NULL,Fixed reference: percentile and p-value empty
G0011,partial_rank_134,circular_shift_control_partial_rank,9,9,0.81442215003695362,-0.017198824373270357,-0.094168784698208829,0.47631142493353346,-0.66066292755390887,-0.58509703576675032,0.3725525013145593,0.61858916907069172,1,0.10000000000000001,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0011,partial_rank_134,circular_shift_control_partial_rank_absolute,9,9,0.81442215003695362,0.45396704874373311,0.41638728821319682,0.24972376688695619,0.052110558567879564,0.12092050131812276,0.67531112761347178,0.72079845400751275,1,0.10000000000000001,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0011,partial_rank_134,shuffle_surrogate_partial_rank,1000,1000,0.81442215003695362,-0.026929546955699477,-0.025986708855815166,0.36400592273379312,-0.60747011573098397,-0.40897737378945648,0.36094631450756542,0.60067949248167141,0.996,0.011988011988011988,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0011,partial_rank_134,shuffle_surrogate_partial_rank_absolute,1000,1000,0.81442215003695362,0.2672100109770279,0.29848888850072014,0.20995238570695443,0.021471394596700926,0.074510792564876777,0.52877083005255499,0.67708245221483743,0.98899999999999999,0.011988011988011988,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0012,partial_rank_134,circular_shift_control_partial_rank,11,11,0.69127723542999875,-0.14186073359690643,-0.062843385039090788,0.64285738470403297,-0.8902174472137202,-0.76307104399880221,0.67501619003223645,0.89021744721372031,0.81818181818181823,0.5,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0012,partial_rank_134,circular_shift_control_partial_rank_absolute,11,11,0.69127723542999875,0.54451914548572233,0.58256502869474902,0.27898547534516333,0.1418607335969064,0.29173685339639299,0.88632630914137778,0.90967313757543311,0.59090909090909094,0.5,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0012,partial_rank_134,shuffle_surrogate_partial_rank,1000,1000,0.69127723542999875,-0.012209377150337887,-0.0036847586917455313,0.30903099942879886,-0.50359861036736375,-0.32415119964948597,0.32501888977387039,0.50923415348662482,0.99299999999999999,0.015984015984015984,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0012,partial_rank_134,shuffle_surrogate_partial_rank_absolute,1000,1000,0.69127723542999875,0.22304549816095284,0.25160109502155692,0.1794731875198414,0.020735040830501164,0.059564039471829811,0.4448900107514468,0.5792033975752009,0.98499999999999999,0.015984015984015984,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
