panel,sample_branch,control_tier,value_type,statistic_value,galaxy_id,realization,notes
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank_absolute,control_p05,0.024602258554595406,G0004,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank_absolute,control_p95,0.56027498901859385,G0004,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank,observed,-0.56526427651121214,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank,control_median,0.023739518225314869,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank,control_p05,-0.8015398761003717,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank,control_p95,0.8133929080902621,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank_absolute,observed,0.56526427651121214,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank_absolute,control_median,0.55665968805976207,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank_absolute,control_p05,0.10237730058202796,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank_absolute,control_p95,0.83002936487863588,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank,observed,-0.56526427651121214,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank,control_median,-0.0025299412425513622,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank,control_p05,-0.31247176185952735,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank,control_p95,0.29435915135639212,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank_absolute,observed,0.56526427651121214,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank_absolute,control_median,0.11837560931054641,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank_absolute,control_p05,0.01066641137823489,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank_absolute,control_p95,0.3519673250515008,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,random_phase_surrogate_radial_template,observed,0.75897433277648096,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,random_phase_surrogate_radial_template,control_median,0.75897433277648096,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,random_phase_surrogate_radial_template,control_p05,0.75897433277648096,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,random_phase_surrogate_radial_template,control_p95,0.75897433277648108,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,random_phase_surrogate_residual,observed,0.54249759670832232,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,random_phase_surrogate_residual,control_median,0.54249759670832232,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,random_phase_surrogate_residual,control_p05,0.54249759670832232,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,random_phase_surrogate_residual,control_p95,0.54249759670832254,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,smooth_profile_exponential_reference,control_median,0.54841116895906106,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,smooth_profile_exponential_reference,control_p05,0.54841116895906106,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,smooth_profile_exponential_reference,control_p95,0.54841116895906106,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,smooth_profile_linear_reference,control_median,0.55293651198333094,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,smooth_profile_linear_reference,control_p05,0.55293651198333094,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,smooth_profile_linear_reference,control_p95,0.55293651198333094,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,smooth_profile_quadratic_reference,control_median,0.57036991400033354,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,smooth_profile_quadratic_reference,control_p05,0.57036991400033354,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,smooth_profile_quadratic_reference,control_p95,0.57036991400033354,G0005,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank,observed,0.3222081791935949,G0006,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank,control_median,-0.012350385893836075,G0006,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank,control_p05,-0.74489954519240675,G0006,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank,control_p95,0.71216734779530277,G0006,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank_absolute,observed,0.3222081791935949,G0006,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank_absolute,control_median,0.55083833266034432,G0006,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank_absolute,control_p05,0.015825501669362602,G0006,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank_absolute,control_p95,0.83465623509704412,G0006,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank,observed,0.3222081791935949,G0006,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank,control_median,-0.0052789414944212406,G0006,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank,control_p05,-0.59499853157954907,G0006,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank,control_p95,0.57154231531639954,G0006,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank_absolute,observed,0.3222081791935949,G0006,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank_absolute,control_median,0.26756002483626051,G0006,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank_absolute,control_p05,0.024713407292193172,G0006,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank_absolute,control_p95,0.66258459930585889,G0006,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank,observed,-0.6188991867444803,G0007,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank,control_median,-0.022373861668297877,G0007,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank,control_p05,-0.68733691272476205,G0007,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank,control_p95,0.84783916445065466,G0007,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank_absolute,observed,0.6188991867444803,G0007,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
